Investor_Id,first,IT,early,year
10754-47,1,0,0,1994
107903-44,0,0,1,1994
10985-23,1,0,0,1994
11106-82,0,0,1,1994
11108-89,0,0,0,1994
11110-33,1,1,1,1994
11110-42,1,0,0,1994
11110-69,1,1,1,1994
11111-68,1,1,0,1994
11111-86,0,0,1,1994
11114-11,1,0,1,1994
11115-19,1,0,1,1994
11115-28,1,0,0,1994
11118-79,0,1,0,1994
11120-59,0,0,1,1994
11121-76,1,0,1,1994
11121-85,1,0,0,1994
11122-12,1,0,1,1994
11122-30,1,1,1,1994
11123-38,0,1,0,1994
11124-28,1,1,1,1994
11124-46,0,0,0,1994
11126-89,1,0,1,1994
11127-79,1,0,1,1994
11127-88,0,0,0,1994
11132-20,1,1,0,1994
11132-38,0,0,0,1994
11135-71,1,0,1,1994
11136-61,1,1,0,1994
11137-87,1,0,1,1994
11139-04,1,0,1,1994
11142-73,1,1,1,1994
11145-52,1,0,1,1994
11151-91,1,0,1,1994
11153-98,1,0,1,1994
11161-36,1,0,0,1994
11162-08,0,0,1,1994
11166-58,0,1,1,1994
11168-92,1,0,1,1994
11169-91,0,0,1,1994
11170-81,1,1,1,1994
11171-08,0,1,1,1994
11173-60,0,0,1,1994
11174-14,1,0,0,1994
11177-02,0,0,0,1994
11177-20,1,0,1,1994
11179-99,0,0,1,1994
11184-40,0,0,0,1994
11184-49,1,0,1,1994
11184-67,0,1,0,1994
11186-29,1,0,0,1994
11190-70,1,0,1,1994
11191-96,1,0,1,1994
11192-41,1,0,0,1994
11192-68,0,0,1,1994
11193-13,1,1,1,1994
11194-12,0,0,0,1994
11201-59,1,0,0,1994
11201-77,1,0,1,1994
11207-89,1,0,0,1994
11208-79,1,0,1,1994
11211-40,1,0,1,1994
11211-94,0,1,1,1994
11212-21,0,1,0,1994
11219-23,1,1,1,1994
11220-04,1,0,1,1994
11220-22,1,0,0,1994
11224-99,1,0,1,1994
11228-32,1,0,0,1994
11228-50,0,0,1,1994
11234-26,1,0,1,1994
11237-14,1,1,0,1994
11237-50,0,1,0,1994
11237-95,1,0,1,1994
11242-18,0,0,1,1994
11242-54,0,1,0,1994
11248-21,0,1,1,1994
11251-27,1,0,1,1994
11251-81,1,0,1,1994
11256-40,1,0,1,1994
11256-76,1,1,0,1994
11258-29,1,0,1,1994
11258-83,0,1,0,1994
11259-64,1,1,0,1994
11261-35,1,1,1,1994
11261-71,0,1,0,1994
11262-52,1,0,1,1994
11262-88,1,0,1,1994
11263-42,1,0,1,1994
11263-51,1,0,1,1994
11265-13,1,0,0,1994
11274-04,1,1,1,1994
