Investor_Id,date,avg_own_dist,avg_syn_dist,status,first,IT,early,age
10077-85,2007,0.18872168835589948,0.33798044922888343,0.06854171906936546,0,1,1,8
10077-85,2009,0.16784751102220766,0.0846462703939848,0.2445751530437492,0,1,0,10
10077-85,2010,0.24594001548641062,0.2459466747757062,1.5277530151127043,0,1,0,11
10077-85,2011,0.12412026151706124,0.10994784848186397,-0.8687498217919525,0,1,0,12
10077-85,2012,0.15505210834009966,0.1440679112582334,-0.5883202910595113,0,1,0,13
10077-85,2013,0.11460905120792336,0.2052016138430634,-0.8750529824653374,0,1,0,14
10077-85,2015,0.3468092853920213,0.4823965120421336,-2.4835577314303596,0,1,0,16
100778-23,2014,2.2887833992611187e-16,0.7205469948155699,-0.7877323736314484,1,1,1,0
100778-23,2015,0.2242903195021085,0.315260059994239,-6.349454335417116,1,1,1,1
10109-26,2000,0.02336625259984213,0.03298282273312508,-1.5198681240168186,0,1,1,2
10109-26,2002,0.2451475519004263,0.07328037912302708,0.4299114797030474,0,1,1,4
10109-26,2003,0.13550425112965903,0.12574573925396634,-0.9364285882928374,0,1,1,5
10109-26,2004,0.1513884207155365,0.1512164360231038,-4.005293221847211,0,1,1,6
10109-26,2005,0.17325956517596122,0.285945022775385,0.940348792935842,0,1,0,7
10109-26,2006,0.17135445329052185,0.10611387934392305,0.062137161736379155,0,1,0,8
10109-26,2007,0.18763717586038478,0.20331859648578027,1.0981028529870283,0,1,0,9
10109-26,2008,0.11619259852041253,0.17496261926623535,1.7131888421895327,0,1,0,10
10109-26,2009,0.18458519014055447,0.14518871559370544,0.1087873354896077,0,1,0,11
10109-26,2010,0.18028518154085058,0.24667279322095456,-0.32830433827490335,0,0,0,12
10109-26,2011,0.1759143612104883,0.058409910587298136,-1.0264693348545113,0,0,0,13
10109-26,2012,0.2487173714879638,0.21692037678246598,0.855739027382384,0,0,0,14
10109-26,2013,0.17705248496128595,0.06409789893138977,0.2958691258342088,0,0,0,15
10109-26,2014,0.17498910888136227,0.07877768023950107,0.8706062171781721,0,0,0,16
10123-03,2002,0.29116682094539736,0.06711418829034546,-0.04270049543324475,1,1,1,2
10123-03,2004,0.20684382243735114,0.30066653345857,0.5220671842048655,0,1,1,4
10123-03,2005,0.2200085130374461,0.21598162270920288,0.015437608380427122,0,1,1,5
10123-03,2006,0.2006472320281163,0.14075500496849414,0.4927025741817489,0,1,1,6
10123-03,2007,0.20996867517941603,0.16190550636479512,-1.2082344560458766,0,1,1,7
10123-03,2008,0.18072294691907373,0.21493876365579379,-1.0428574651880165,0,1,1,8
10123-03,2009,0.20210643617349142,0.19885346836367107,-0.5720037362873616,0,1,1,9
10123-03,2010,0.20855101745413362,0.15548815372391192,0.16874613503274571,0,1,1,10
10123-03,2011,0.24480287068566695,0.2536595708509563,-1.0363702480735093,0,1,1,11
10123-03,2012,0.20462085177473902,0.2054392953008507,-0.6429653663181322,0,1,1,12
10123-03,2013,0.26609194571542294,0.4023422625428103,-0.3498900379187659,0,1,1,13
10123-03,2014,0.31454483881544926,0.382674644785734,0.41534120764940285,0,1,1,14
10123-03,2015,0.3415888380672193,0.3714811788435409,0.8907336024220581,0,1,1,15
101275-48,2013,0.09832745934281803,0.34577117089655457,1.6462265356338195,0,0,0,2
10133-20,1999,0.2619186130367952,0.09508773254732794,-12.954567727865836,0,1,1,2
10133-20,2000,0.19973335246933555,0.07830360629865987,0.0732154337673998,0,1,1,3
10133-20,2003,0.17547195138228064,0.25689122266182607,0.0018762327759083172,0,1,1,6
10133-20,2004,0.14210137184539415,0.2515273985296283,0.9183665215349326,0,1,1,7
10133-20,2005,0.19740008228946473,0.22120892336982617,-1.576169781827445,0,1,1,8
10133-20,2006,0.22579251874784612,0.05305261077076533,-3.3697342391497056,0,1,1,9
10133-20,2007,0.20989184671583322,0.16664984671118188,-0.5879322427885267,0,1,1,10
10133-20,2008,0.15210522631532786,0.1579690041615702,0.8786010904313029,0,1,1,11
10133-20,2009,0.23657541289832287,0.1534457200812302,1.0140284871600276,0,1,1,12
10133-20,2010,0.20081598625297198,0.18350538957041782,-0.4270411749642478,0,1,1,13
