Investor_Id,hhi,year
56386-27,1,1997
56660-77,1,1997
58804-66,1,1997
63967-15,0.5,1997
64689-67,0.28,1997
83336-23,1,1997
95663-89,1,1997
98783-56,0.5,1997
10020-07,1,1998
10022-14,0.5,1998
10052-20,0.28,1998
10068-04,0.5,1998
10070-83,0.07200000000000001,1998
100761-31,1,1998
10109-26,1,1998
10133-20,0.375,1998
10134-73,0.16049382716049382,1998
10135-81,1,1998
10139-41,0.11111111111111108,1998
10146-16,0.5555555555555556,1998
10181-17,0.5,1998
10215-64,1,1998
10228-51,1,1998
10241-02,0.3333333333333333,1998
10242-91,1,1998
10271-98,0.15625,1998
10335-25,1,1998
10346-14,1,1998
10367-47,1,1998
10411-93,0.5,1998
10446-40,0.18367346938775508,1998
10458-73,1,1998
10521-46,0.5,1998
10639-63,1,1998
110861-11,1,1998
11106-82,1,1998
11108-89,0.3333333333333333,1998
11109-61,0.5,1998
11110-15,1,1998
11110-69,0.5,1998
11111-23,1,1998
11111-68,0.32000000000000006,1998
11111-86,1,1998
11112-67,1,1998
11114-11,0.4375,1998
11114-38,1,1998
11114-47,0.5,1998
11115-19,1,1998
11115-28,0.6800000000000002,1998
11120-59,0.3333333333333333,1998
11121-85,0.3333333333333333,1998
11122-12,0.20000000000000004,1998
11122-48,0.5,1998
11123-38,1,1998
11124-19,1,1998
11124-28,0.5555555555555556,1998
11126-89,1,1998
11127-16,1,1998
11127-25,1,1998
11127-79,1,1998
11127-88,0.52,1998
11128-69,1,1998
11129-23,0.25,1998
11129-41,1,1998
11129-59,0.5,1998
11131-03,0.28,1998
11132-20,0.15976331360946747,1998
11132-38,0.5555555555555556,1998
11133-01,0.13580246913580246,1998
11133-37,1,1998
11134-81,0.3333333333333333,1998
11135-62,0.5,1998
11135-71,0.42857142857142855,1998
11136-61,1,1998
11137-87,1,1998
11138-68,1,1998
11139-04,1,1998
11141-65,1,1998
11142-19,0.3333333333333333,1998
11142-28,1,1998
11142-73,0.625,1998
11143-54,0.5,1998
11146-42,1,1998
11148-04,1,1998
11148-67,0.25,1998
11151-91,1,1998
11153-98,0.30612244897959184,1998
11157-04,1,1998
11157-58,1,1998
11159-74,1,1998
11159-83,1,1998
11160-10,1,1998
11161-36,1,1998
11162-08,0.59375,1998
11165-50,0.625,1998
11165-68,0.5,1998
11166-58,0.5,1998
11168-02,1,1998
11168-92,0.375,1998
11169-91,0.625,1998
11170-81,1,1998
11171-44,1,1998
11172-43,0.13019390581717452,1998
11173-42,0.5,1998
11173-60,0.6800000000000002,1998
11173-78,0.5,1998
11174-14,0.5,1998
11174-77,0.3333333333333333,1998
11175-13,1,1998
11176-39,1,1998
11177-11,0.375,1998
11177-20,0.2222222222222222,1998
11179-99,0.3333333333333333,1998
11181-43,1,1998
11184-40,1,1998
11184-49,0.3333333333333333,1998
11184-67,0.42857142857142855,1998
11186-92,1,1998
11190-70,1,1998
11191-96,0.18343195266272194,1998
11192-41,0.5,1998
11192-68,0.3333333333333333,1998
11193-13,0.20000000000000004,1998
11193-76,1,1998
11194-12,0.3333333333333333,1998
11196-10,1,1998
11197-00,1,1998
11197-81,0.5555555555555556,1998
11197-90,1,1998
11199-79,1,1998
11201-59,0.5,1998
11201-77,0.5,1998
