Investor_Id,hhi,year,status,first,IT,early,age
11111-68,0.5,1997,0,0,0,1,2
11114-11,0.6800000000000002,1997,0,1,0,1,3
11121-85,0.3333333333333333,1997,0,1,0,0,3
11124-28,1,1997,0,1,1,1,3
11127-88,0.5,1997,0,0,1,0,3
11128-69,1,1997,0,0,0,1,0
11129-23,1,1997,0,0,1,1,0
11129-41,1,1997,0,1,1,1,0
11131-03,0.28,1997,0,0,1,0,1
11132-20,0.2345679012345679,1997,0,1,0,1,2
11132-38,1,1997,0,0,1,0,1
11133-01,0.28,1997,0,1,1,1,1
11134-81,1,1997,0,1,0,1,0
11135-71,0.6800000000000002,1997,0,1,0,1,2
11136-61,1,1997,0,0,0,0,1
11142-19,0.3333333333333333,1997,0,1,1,1,1
11142-28,1,1997,0,0,1,0,0
11142-73,1,1997,0,1,1,1,1
11143-54,1,1997,0,1,1,1,0
11153-98,0.2777777777777778,1997,0,1,0,1,4
11157-04,1,1997,0,1,1,1,0
11162-08,1,1997,0,0,0,0,4
11166-58,0.5,1997,0.42216338001195314,0,1,0,2
11171-44,1,1997,0,1,1,1,0
11172-43,0.20833333333333337,1997,0,1,1,1,2
11173-78,1,1997,0,0,0,0,0
11175-13,1,1997,0,0,0,0,0
11177-11,1,1997,0,0,0,0,2
11184-67,0.44000000000000006,1997,0,0,1,1,3
11191-96,0.18000000000000005,1997,0.8443267600239063,1,0,1,4
11192-68,0.5,1997,0,0,0,1,4
11197-81,0.5555555555555556,1997,0,1,0,1,1
11201-59,0.5,1997,0.21108169000597657,1,0,0,1
11203-21,1,1997,0,0,1,1,0
11205-64,1,1997,0,0,0,1,0
11206-54,1,1997,0,1,0,1,0
11207-89,0.3333333333333333,1997,1.779117101478945,0,0,0,4
11208-07,0.5,1997,0,0,0,0,0
11208-79,0.25,1997,0,1,1,1,2
11210-32,0.5,1997,0,0,0,0,1
11211-40,0.12802768166089964,1997,0,1,1,1,4
11213-92,0.5555555555555556,1997,0,0,0,1,1
11214-82,1,1997,0,1,1,1,0
11217-25,0.5,1997,0,0,0,0,1
11220-04,1,1997,0,1,0,1,0
11220-22,0.3333333333333333,1997,0,1,0,0,0
11220-31,0.5,1997,0,0,1,0,0
11222-83,1,1997,0,1,1,0,0
11228-50,0.1403061224489796,1997,2.6234438615028512,0,0,1,4
11230-93,1,1997,0,0,1,1,0
11234-17,1,1997,0,0,0,1,0
11237-68,1,1997,0,1,0,1,0
11237-95,0.25,1997,0,1,1,0,4
11239-12,1,1997,0,1,1,1,0
11239-48,1,1997,0,1,0,1,0
11240-47,1,1997,0,1,1,1,0
11242-18,0.5,1997,0,1,0,1,0
11243-89,0.5,1997,0,0,0,0,0
11246-68,1,1997,0,0,0,0,0
11247-13,1,1997,0,1,0,1,0
11248-21,0.3827160493827161,1997,0,0,1,0,2
11248-93,1,1997,0,1,0,1,0
11251-45,0.3333333333333333,1997,0,1,1,0,1
