Investor_Id,hhi,year,status,first,IT,early,age,niche_width,mean_first,mean_early,mean_IT,mean_age,mean_status
52384-15,1,2009,0,0,0,0,0,0,0,0,0,0,0
52384-15,0.5,2010,-0.2512639024552782,0,0,0,1,0.28797661103666716,0,0,0,0.5,-0.1256319512276391
52384-15,0.5,2011,0.2774875703346005,0,1,0,2,0.2307713719730019,0,0,0.3333333333333333,1,0.008741222626440762
52384-15,0.3600000000000001,2012,-0.9289192978404258,0,0,0,3,0.18924491683577538,0,0,0.25,1.5,-0.22567390749027588
52384-15,0.26530612244897955,2013,-0.23339621708298758,0,0,0,4,0.15281430054125136,0,0,0.2,2,-0.2272183694088182
52384-15,0.21875,2015,1.1339992368527196,0,0,0,6,0.12129751881872741,0,0,0.16666666666666666,2.6666666666666665,-3.487683652285689e-4
52384-42,1,2002,0.1548426634470511,1,1,1,0,0.5533980582524272,1,1,1,0,0.1548426634470511
52384-42,0.5,2005,-0.15077062722488713,1,1,0,3,0.32500101120414193,1,0.5,1,1.5,0.0020360181110819914
52384-42,0.3333333333333333,2011,0,0,1,1,9,0.12297797834631465,0.6666666666666666,0.6666666666666666,1,4,0.0013573454073879943
52384-42,0.25,2014,0,0,1,1,12,0.08432775113783998,0.5,0.75,1,6,0.0010180090555409957
52384-42,0.2222222222222222,2015,0.031057046599529594,0,0,1,13,0.07375464485576433,0.4,0.8,0.8,7.4,0.007025816564338716
52384-42,0.15625,2016,1.0980795512766817,0,0,1,14,0.0690777381378358,0.3333333333333333,0.8333333333333334,0.6666666666666666,8.5,0.18886810568306256
52384-42,0.14049586776859505,2017,0.9095199114377032,0,0,1,15,0.061725673287089555,0.2857142857142857,0.8571428571428571,0.5714285714285714,9.428571428571429,0.2918183636480112
52385-23,1,1999,0,0,1,0,0,0,0,0,1,0,0
52385-59,0.5555555555555556,1996,0,1,1,0,0,0.6666666666666667,1,0,1,0,0
52385-59,0.375,2001,0,1,0,0,5,0.3471028265418671,1,0,0.5,2.5,0
52385-59,0.28,2004,0,1,0,0,8,0.25707721725389465,1,0,0.3333333333333333,4.333333333333333,0
52386-40,1,2016,0,0,0,1,0,0,0,1,0,0,0
52388-92,0.5,2004,0.35645727500097785,0,0,1,0,1,0,1,0,0,0.35645727500097785
52388-92,0.375,2005,0.27398670108637263,0,1,1,1,0.13602094494678918,0,1,0.5,0.5,0.31522198804367524
52388-92,0.3600000000000001,2006,0.22843093385717367,0,1,1,2,0.09253543221979489,0,1,0.6666666666666666,1,0.2862916366481747
52388-92,0.3888888888888889,2007,0.2058978729169697,0,1,1,3,0.05465933505698983,0,1,0.75,1.5,0.2661931957153735
52390-00,1,2012,1.9108769027454717,0,1,0,0,0,0,0,1,0,1.9108769027454717
52390-00,0.5,2014,10.456190963987092,0,0,0,2,1,0,0,0.5,1,6.183533933366282
52464-16,1,2013,0,NA,NA,NA,0,0,NA,NA,NA,0,0
52498-72,1,2009,0.035368422382445454,1,0,1,0,0,1,1,0,0,0.035368422382445454
52498-99,1,2010,0.009020995710422464,1,0,1,0,1,1,1,0,0,0.009020995710422464
52498-99,0.3333333333333333,2011,-0.49158169505632177,0,0,1,1,0.09563066970031077,0.5,1,0,0.5,-0.24128034967294965
52498-99,0.25,2012,-0.6634433580695875,0,0,1,2,0.14394113099560613,0.3333333333333333,1,0,1,-0.3820013524718289
52498-99,0.16666666666666669,2014,-1.8066653386695328,0,0,1,4,0.11965227730430529,0.25,1,0,1.75,-0.7381673490212549
52498-99,0.1875,2015,0.47630183218267685,0,0,1,5,0.10752377395938728,0.2,1,0,2.4,-0.49527351278046855
52498-99,0.18518518518518517,2016,-0.37485498706400233,0,0,1,6,0.09251881827063925,0.16666666666666666,1,0,3,-0.4752037584943909
52498-99,0.17355371900826447,2017,-3.31757935526925,0,0,1,7,0.11024610239682343,0.14285714285714285,1,0,3.5714285714285716,-0.8812574151765136
52504-12,1,1999,0,1,1,1,0,0,1,1,1,0,0
52504-12,0.5,2005,0,1,0,0,6,1,1,0.5,0.5,3,0
52504-12,0.3333333333333333,2012,0,0,0,0,13,0.07628787578205143,0.6666666666666666,0.3333333333333333,0.3333333333333333,6.333333333333333,0
52506-19,1,2003,0,0,0,1,0,0,0,1,0,0,0
52506-19,1,2005,0,0,0,1,2,0.2457542457542459,0,1,0,1,0
52506-19,0.5555555555555556,2007,0,0,0,1,4,0.1769696827244676,0,1,0,2,0
52506-19,0.375,2008,0,0,0,1,5,0.1339854708919923,0,1,0,2.75,0
52506-19,0.22222222222222227,2011,0,0,0,1,8,0.2028099643570588,0,1,0,3.8,0
52506-19,0.18367346938775508,2015,0,0,0,1,12,0.13440222937608126,0,1,0,5.166666666666667,0
52506-28,0.5,2007,0,0,0,0,0,1,0,0,0,0,0
52506-28,0.25,2008,0.08315606473374129,0,0,0,1,0.1315634575788548,0,0,0,0.5,0.041578032366870646
52506-28,0.22222222222222227,2009,0.22231579783257716,0,0,1,2,0.11879443627736452,0,0.3333333333333333,0,1,0.10182395418877281
52506-28,0.15625,2012,0.010162386031262195,0,0,1,5,0.07289964692173523,0,0.5,0,2,0.07890856214939515
52506-28,0.14000000000000004,2013,0.20190790750635892,0,0,1,6,0.10975276051097893,0,0.6,0,2.8,0.1035084312207879
52506-82,0.25,2011,0,1,0,1,0,0.23662346767025258,1,1,0,0,0
52506-82,0.14285714285714285,2012,0,1,0,1,1,0.18690976783315186,1,1,0,0.5,0
52506-82,0.078125,2013,0,0,0,1,2,0.1375737612658873,0.6666666666666666,1,0,1,0
52506-82,0.06611570247933884,2014,-3.8165335333764377e-14,0,0,1,3,0.11915661391363153,0.5,1,0,1.5,-9.541333833441094e-15
52506-82,0.053323593864134426,2015,3.7350318396129015e-14,0,0,1,4,0.10307526497070797,0.4,1,0,2,-1.630033875270724e-16
52506-82,0.04728950403690886,2016,-1.415335384458621,0,0,1,5,0.09857740964676664,0.3333333333333333,1,0,2.5,-0.23588923074310364
52506-82,0.04890738813735687,2017,0.3630758263401068,0,0,1,6,0.09528983696009265,0.2857142857142857,1,0,3,-0.15032279401693072
52506-82,0.048209366391184526,2018,0.8832991146404268,0,0,1,7,0.0909126463443436,0.25,1,0,3.5,-0.02112005543476103
52507-00,1,1999,0,1,0,0,0,0,1,0,0,0,0
52507-00,0.3333333333333333,2006,0.2623086066026217,0,0,0,7,0.5040943039683254,0.5,0,0,3.5,0.13115430330131084
52507-00,0.16666666666666669,2007,1.75679764833541,0,0,0,8,0.3098052536611271,0.3333333333333333,0,0,5,0.6730354183126771
52507-54,1,2012,0,1,1,0,0,0.06810597004818443,1,0,1,0,0
52507-54,0.5,2014,0.18313737017120205,1,1,0,2,0.040951544685758456,1,0,1,1,0.09156868508560102
52507-54,0.3333333333333333,2015,-1.49870702728706,1,1,1,3,0.03462682883174195,1,0.3333333333333333,1,1.6666666666666667,-0.4385232190386193
52507-90,0.5555555555555556,2010,0,1,0,1,0,0.2257467835132071,1,1,0,0,0
52507-90,0.15702479338842976,2011,0,0,0,1,1,0.16604848190466326,0.5,1,0,0.5,0
52507-90,0.16942148760330575,2012,-0.2270729424680615,0,0,1,2,0.14161537280359593,0.3333333333333333,1,0,1,-0.07569098082268717
52507-90,0.13805697589481375,2013,1.5848086650534507,0,0,1,3,0.12073989056841107,0.25,1,0,1.5,0.3394339306463473
52507-90,0.13999999999999999,2014,0.024957956439739866,0,0,1,4,0.10596202247308197,0.2,1,0,2,0.27653873580502586
52507-90,0.15521949170342367,2015,-0.6331692140390137,0,0,1,5,0.0917145730118375,0.16666666666666666,1,0,2.5,0.12492074416435257
52507-90,0.14625,2016,0.11551107105696222,0,0,1,6,0.08140274613358833,0.14285714285714285,1,0,3,0.1235765051490111
52507-90,0.12615580826867892,2017,1.2656460157535614,0,0,1,7,0.07275220772257475,0.125,1,0,3.5,0.2663351939745799
52507-90,0.1185487528344671,2018,-0.17457578117436803,0,0,1,8,0.07392928700343783,0.1111111111111111,1,0,4,0.2173450856246968
52508-08,1,2012,0,0,0,1,0,0,0,1,0,0,0
52508-08,0.44,2014,0,0,1,1,2,0.09779092220231866,0,1,0.5,1,0
52508-08,0.3333333333333333,2015,4.260727431444882e-14,0,1,1,3,0.0868263550114885,0,1,0.6666666666666666,1.6666666666666667,1.4202424771482941e-14
52508-08,0.26530612244897955,2016,0,0,0,1,4,0.0662575452723574,0,1,0.5,2.25,1.0651818578612206e-14
52508-08,0.24000000000000005,2017,0,0,1,1,5,0.058134054823451915,0,1,0.6,2.8,8.521454862889764e-15
52514-20,1,2010,0,0,1,0,0,0,0,0,1,0,0
52514-20,0.375,2011,0.10421104108690708,0,1,0,1,0.16842351237897224,0,0,1,0.5,0.05210552054345354
52514-20,0.1875,2012,2.9054392910310356,0,1,0,2,0.1068834553136786,0,0,1,1,1.0032167773726475
52514-20,0.14049586776859505,2013,-2.1743996386887146,0,1,0,3,0.0841993136261443,0,0,1,1.5,0.20881267335730702
52514-20,0.125,2014,0.6306532327307688,0,1,0,4,0.07149201077762657,0,0,1,2,0.29318078523199936
52514-20,0.13223140495867766,2015,0.41702632723646405,0,1,0,5,0.0743230011080881,0,0,1,2.5,0.31382170889941013
52514-20,0.1232,2016,-0.04809131372370313,0,1,0,6,0.06699004635893968,0,0,1,3,0.2621198485246797
52514-20,0.1301775147928994,2017,2.4716918951602973,0,1,0,7,0.0626494683958636,0,0,1,3.5,0.5383163543541318
52514-20,0.13305898491083673,2018,2.8897300738493916,0,1,0,8,0.05941280798098381,0,0,1,4,0.7995845454091607
52515-28,1,2000,0,0,1,0,0,1,0,0,1,0,0
52515-28,0.5,2001,0,0,1,1,1,0.31170423597221264,0,0.5,1,0.5,0
52516-09,0.5,2003,0,1,1,1,0,0.4033404193419965,1,1,1,0,0
52516-09,0.25,2005,0,1,1,1,2,0.202585676669077,1,1,1,1,0
52516-09,0.26530612244897955,2006,0,0,0,1,3,0.1670104135374231,0.6666666666666666,1,0.6666666666666666,1.6666666666666667,0
52516-09,0.18000000000000002,2007,0,0,0,1,4,0.12738518216944886,0.5,1,0.5,2.25,0
52516-09,0.23611111111111113,2008,0,0,0,1,5,0.10611055425009276,0.4,1,0.4,2.8,0
52516-09,0.20408163265306126,2009,0,0,0,1,6,0.10393461404285599,0.3333333333333333,1,0.3333333333333333,3.3333333333333335,0
52516-09,0.18222222222222223,2010,0,0,0,1,7,0.09905492989570765,0.2857142857142857,1,0.2857142857142857,3.857142857142857,0
52520-95,0.5,2000,-0.4336494644352614,NA,NA,NA,0,1,NA,NA,NA,0,-0.4336494644352614
52523-47,1,2011,0.5455882742985456,NA,NA,NA,0,1,NA,NA,NA,0,0.5455882742985456
52524-82,1,1999,0,1,0,1,0,0,1,1,0,0,0
52524-82,0.20000000000000004,2011,0.02455351982364037,1,0,1,12,0.11089931515771134,1,1,0,6,0.012276759911820185
52524-82,0.1527777777777778,2012,0.011432684284978362,1,1,1,13,0.09245659195822853,1,1,0.3333333333333333,8.333333333333334,0.011995401369539577
52524-82,0.09504132231404958,2013,1.6192301727988943,1,1,1,14,0.08355340221340246,1,1,0.5,9.75,0.41380409422687825
52524-82,0.08203125,2014,0.8467479197352843,0,1,1,15,0.08585592368663619,0.8,1,0.6,10.8,0.5003928593285595
52524-82,0.07962016070124181,2015,3.7319059303131037,0,1,1,16,0.0729839783405768,0.6666666666666666,1,0.6666666666666666,11.666666666666666,1.0389783711593168
52524-82,0.08250000000000002,2016,1.9838653625768774,0,1,1,17,0.06833460871841712,0.5714285714285714,1,0.7142857142857143,12.428571428571429,1.173962227076111
52524-82,0.08072916666666664,2017,-1.0541265451817425,0,1,1,18,0.06835526586065266,0.5,1,0.75,13.125,0.8954511305438794
52524-82,0.07544378698224852,2018,4.590785649915961,0,1,1,19,0.06990974603974953,0.4444444444444444,1,0.7777777777777778,13.777777777777779,1.3060438549185551
52525-27,1,2007,0,NA,NA,NA,0,0,NA,NA,NA,0,0
52525-54,1,2011,0,NA,NA,NA,0,0,NA,NA,NA,0,0
52537-24,0.5,2010,0,0,1,0,0,0.13962504241601637,0,0,1,0,0
52537-24,0.375,2012,0,0,1,1,2,0.11047622808158176,0,0.5,1,1,0
52537-24,0.3600000000000001,2015,0,0,1,1,5,0.0698532011365195,0,0.6666666666666666,1,2.3333333333333335,0
52539-85,1,2003,0,1,0,1,0,0,1,1,0,0,0
52539-85,0.375,2005,-1.676816908477461,0,0,1,2,0.2025690787929603,0.5,1,0,1,-0.8384084542387304
52539-85,0.3600000000000001,2006,-1.3287522545467214,0,1,1,3,0.17806605392607344,0.3333333333333333,1,0.3333333333333333,1.6666666666666667,-1.0018563876747273
52539-85,0.3333333333333333,2007,0.22069907265177238,0,1,1,4,0.14739016108960046,0.25,1,0.5,2.25,-0.6962175225931024
52539-85,0.34375,2008,0.22782452656115407,0,1,0,5,0.12244122717134844,0.2,0.8,0.6,2.8,-0.5114091127622511
52540-66,1,2003,0,0,1,0,0,0.2960092298759674,0,0,1,0,0
52540-66,1,2005,0,0,0,0,2,0.1850070102774526,0,0,0.5,1,0
52540-66,1,2006,0,0,0,0,3,0.12497914081115125,0,0,0.3333333333333333,1.6666666666666667,0
52559-83,1,2002,0,1,0,1,0,0,1,1,0,0,0
52559-83,0.5,2003,-0.5222903777916124,1,0,1,1,1,1,1,0,0.5,-0.2611451888958062
52559-83,0.5555555555555556,2004,-1.1914751445127547,1,0,1,2,0.3677130044843049,1,1,0,1,-0.5712551741014557
52559-83,0.375,2016,0.01865518636133226,0,0,1,14,0.08158188118866262,0.75,1,0,4.25,-0.4237775839857587
52563-61,0.5,2001,0,0,0,1,0,1,0,1,0,0,0
52563-61,0.3333333333333333,2002,-1.1580498022303891,0,0,1,1,0.30900389857895605,0,1,0,0.5,-0.5790249011151946
52563-61,0.25,2005,1.072076103684196,0,0,1,4,0.25176491810127705,0,1,0,1.6666666666666667,-0.02865789951539773
52563-61,0.28,2006,-0.3193419099959823,0,0,1,5,0.20043846780938757,0,1,0,2.5,-0.10132890213554387
52563-61,0.25,2007,-0.05212744643144754,0,0,1,6,0.16966422044821008,0,1,0,3.2,-0.0914886109947246
52563-61,0.15702479338842976,2008,-0.7068931693687788,0,0,1,7,0.18311829853046757,0,1,0,3.8333333333333335,-0.1940560373904003
52563-61,0.14666666666666667,2009,-1.414501659129898,0,0,1,8,0.15357502890280028,0,1,0,4.428571428571429,-0.36840541192461423
52563-61,0.12110726643598616,2010,-1.5966173483068558,0,0,1,9,0.14265979041988638,0,1,0,5,-0.5219319039723944
52563-61,0.1111111111111111,2011,1.1601994975334715,0,0,1,10,0.1240136790826968,0,1,0,5.555555555555555,-0.33502841491618707
52563-61,0.10803324099722991,2015,-1.2435527912916309,0,0,1,14,0.09235428374957189,0,1,0,6.4,-0.4258808525537314
52563-61,0.10500000000000004,2016,0.543215437436052,0,0,1,15,0.08247277522066755,0,1,0,7.181818181818182,-0.3377811898273875
52563-61,0.09750566893424033,2018,2.3220262345393428,0,0,0,17,0.07653951190762287,0,0.9166666666666666,0,8,-0.11613057113015997
52563-79,1,2010,0,0,0,1,0,0,0,1,0,0,0
52563-79,0.5,2011,0,1,0,1,1,0.1924736709496212,0.5,1,0,0.5,0
52563-79,0.375,2013,0,0,0,1,3,0.0864824791025034,0.3333333333333333,1,0,1.3333333333333333,0
52563-79,0.28,2014,0,0,0,1,4,0.07691003982337309,0.25,1,0,2,0
